method,model_name,display_name,selection_group,mean_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_signed_cosine_similarity,mean_abs_cosine_similarity,n_pairs
LIME,decision_tree,Decision Tree,barbunya_predicted_as_cali,0.64,0.5023809523809524,0.22084415584415584,0.667457003263383,0.7564629823008754,15
LIME,decision_tree,Decision Tree,correct_bombay,0.6,0.42857142857142855,0.5636363636363636,0.919244512698847,0.919244512698847,1
LIME,decision_tree,Decision Tree,correct_dermason,0.6857142857142857,0.5361394557823129,0.6201530612244898,0.899227714242271,0.9061948225385249,28
LIME,decision_tree,Decision Tree,correct_sira,0.43809523809523804,0.2944066515495087,-0.34205318491032777,0.2441106703102014,0.4104830780618924,21
LIME,decision_tree,Decision Tree,dermason_predicted_as_sira,0.42666666666666664,0.2857142857142857,-0.011118326118326123,0.5002492559233461,0.6173207399304896,45
LIME,decision_tree,Decision Tree,sira_predicted_as_dermason,0.5714285714285714,0.4115646258503401,0.1730055658627087,0.5118241781785985,0.6694472027658995,21
LIME,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,0.7066666666666667,0.5595238095238095,0.5419480519480521,0.8639884796909991,0.8639884796909991,15
LIME,logistic_regression,Logistic Regression,correct_bombay,0.8,0.6666666666666666,0.8857142857142858,0.9400979838206545,0.9400979838206545,1
LIME,logistic_regression,Logistic Regression,correct_dermason,0.7714285714285715,0.655187074829932,0.19814471243042672,0.7163855416617182,0.7163855416617182,28
LIME,logistic_regression,Logistic Regression,correct_sira,0.4666666666666667,0.32312925170068024,-0.008598831382082622,0.5084984212774643,0.5987383532596261,21
LIME,logistic_regression,Logistic Regression,dermason_predicted_as_sira,0.6,0.4440035273368606,-0.16398268398268398,0.46190103935313065,0.5372525496751539,45
LIME,logistic_regression,Logistic Regression,sira_predicted_as_dermason,0.4095238095238095,0.2758881330309902,-0.33322777386816793,0.17436451753941262,0.4006336452772709,21
LIME,mlp,MLP,barbunya_predicted_as_cali,0.76,0.6253968253968254,0.5122943722943724,0.8347501078289942,0.8347501078289942,15
LIME,mlp,MLP,correct_bombay,1.0,1.0,0.8999999999999998,0.997206168563432,0.997206168563432,1
LIME,mlp,MLP,correct_dermason,0.7142857142857143,0.5871598639455782,0.15591372912801482,0.6722021878970149,0.6722021878970149,28
LIME,mlp,MLP,correct_sira,0.36190476190476195,0.24489795918367344,-0.17312445354317274,0.372006912721965,0.44711257413858824,21
LIME,mlp,MLP,dermason_predicted_as_sira,0.48000000000000004,0.340299823633157,-0.40873986167089615,0.3248070369640446,0.40824193299054895,45
LIME,mlp,MLP,sira_predicted_as_dermason,0.3238095238095238,0.20408163265306123,-0.4507911628601284,0.07870684167888739,0.3271519278737743,21
LIME,random_forest,Random Forest,barbunya_predicted_as_cali,0.7866666666666667,0.6634920634920635,0.13004329004329004,0.7663267842031727,0.7663267842031727,15
LIME,random_forest,Random Forest,correct_bombay,1.0,1.0,0.8999999999999998,0.9989716242947484,0.9989716242947484,1
LIME,random_forest,Random Forest,correct_dermason,0.9071428571428573,0.8452380952380951,0.7515306122448979,0.9346817152832452,0.9346817152832452,28
LIME,random_forest,Random Forest,correct_sira,0.6476190476190476,0.5011337868480725,0.3629097093382808,0.6921152113921835,0.7480647336615861,21
LIME,random_forest,Random Forest,dermason_predicted_as_sira,0.6311111111111112,0.4901234567901234,0.18963203463203465,0.5293982569265958,0.6742595143878661,45
LIME,random_forest,Random Forest,sira_predicted_as_dermason,0.5714285714285714,0.4293272864701436,-0.23849721706864563,0.4894426492511125,0.5328876859048245,21
SHAP,decision_tree,Decision Tree,barbunya_predicted_as_cali,0.6933333333333334,0.55,-0.03891774891774893,0.5903735965627318,0.6399659102302417,15
SHAP,decision_tree,Decision Tree,correct_bombay,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999998,1
SHAP,decision_tree,Decision Tree,correct_dermason,0.8357142857142857,0.7261904761904762,0.860204081632653,0.9316546569887889,0.9498827111135366,28
SHAP,decision_tree,Decision Tree,correct_sira,0.7714285714285714,0.6855631141345427,0.4177489177489177,0.7698247999827567,0.7698247999827567,21
SHAP,decision_tree,Decision Tree,dermason_predicted_as_sira,0.4088888888888889,0.27001763668430334,-0.44635766532318255,0.31139651090980014,0.3399508683567168,45
SHAP,decision_tree,Decision Tree,sira_predicted_as_dermason,0.5047619047619047,0.3529856386999244,-0.16989795918367348,0.2576629779662538,0.45842139563154244,21
SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,0.7200000000000001,0.5944444444444444,0.30207792207792206,0.8066889611217498,0.8399871533902938,15
SHAP,logistic_regression,Logistic Regression,correct_bombay,1.0,1.0,0.8999999999999998,0.9944989174507103,0.9944989174507103,1
SHAP,logistic_regression,Logistic Regression,correct_dermason,0.9500000000000001,0.9166666666666667,0.7051020408163264,0.9512521552450369,0.9512521552450369,28
SHAP,logistic_regression,Logistic Regression,correct_sira,0.49523809523809526,0.39720332577475437,-0.0468332160450387,0.4496998508888887,0.5272584323692288,21
SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,0.7022222222222223,0.5648148148148148,0.4056493506493507,0.7140488022924242,0.7614894048550707,45
SHAP,logistic_regression,Logistic Regression,sira_predicted_as_dermason,0.6761904761904761,0.5606575963718821,0.03002473716759428,0.4527390156979982,0.6768154562355467,21
SHAP,mlp,MLP,barbunya_predicted_as_cali,0.5866666666666667,0.42857142857142855,-0.1096969696969697,0.5117014339918309,0.560629362394495,15
SHAP,mlp,MLP,correct_bombay,0.8,0.6666666666666666,0.8285714285714287,0.9581602593723099,0.9581602593723099,1
SHAP,mlp,MLP,correct_dermason,0.5,0.34637188208616776,-0.03813775510204082,0.6181020446970107,0.6181020446970107,28
SHAP,mlp,MLP,correct_sira,0.5619047619047619,0.4077853363567649,0.23498763141620285,0.6563104279552798,0.6563104279552798,21
SHAP,mlp,MLP,dermason_predicted_as_sira,0.4133333333333334,0.2775132275132275,-0.3089983579638752,0.42446389788734346,0.4325413767173851,45
SHAP,mlp,MLP,sira_predicted_as_dermason,0.3619047619047619,0.2534013605442177,-0.4238511078412556,0.32834001495233134,0.32834001495233134,21
SHAP,random_forest,Random Forest,barbunya_predicted_as_cali,0.6533333333333334,0.5,0.13036796536796535,0.43233638638831423,0.6232684178066623,15
SHAP,random_forest,Random Forest,correct_bombay,1.0,1.0,0.8999999999999998,0.9997966293344599,0.9997966293344599,1
SHAP,random_forest,Random Forest,correct_dermason,0.8285714285714285,0.7210884353741497,0.7276901669758813,0.8830941760406926,0.8830941760406926,28
SHAP,random_forest,Random Forest,correct_sira,0.5714285714285714,0.44595616024187457,0.06706864564007423,0.5980383944795671,0.5980383944795671,21
SHAP,random_forest,Random Forest,dermason_predicted_as_sira,0.5511111111111111,0.3977072310405643,-0.1611976911976912,0.5419348891324142,0.5419348891324142,45
SHAP,random_forest,Random Forest,sira_predicted_as_dermason,0.5238095238095238,0.37925170068027214,-0.30820964749536184,0.39917764699322145,0.47631805756261525,21
